num_servers,total_customers,served_customers,abandoned_customers,success_rate,abandonment_rate,avg_waiting_time,avg_service_time,avg_system_time,avg_queue_length,server_utilization
2,1171,366,788,31.25533731853117,67.2929120409906,11.314416368204894,2.614851745755137,13.944294569908125,26.25789923142613,99.69122280691461
4,1122,683,435,60.87344028520499,38.770053475935825,4.866077153668347,2.621985774149774,7.504417868084879,17.729055258467024,93.2716814450154
6,1134,857,272,75.57319223985891,23.985890652557316,3.535634575947283,2.6441808930474373,6.198994409278365,14.779541446208112,78.6827439354741
8,1143,949,191,83.02712160979877,16.710411198600177,2.269870331045865,2.715854463832859,4.9929003596765495,9.88713910761155,67.11838245253603
